Dim,Key,TempoM
10,5,1.56746e-05
20,10,7.73333e-05
30,15,0.000132071
40,20,0.000314077
50,25,0.000636182
60,30,0.0009002
70,35,0.00138867
80,40,0.0021805
90,45,0.00229233
100,50,0.00261388
110,55,0.0031592
120,60,0.00380833
130,65,0.0050692
140,70,0.0061566
150,75,0.0076734
160,80,0.00877875
170,85,0.0111255
180,90,0.0134032
190,95,0.016238
200,100,0.020141
210,105,0.0230333
220,110,0.0270752
230,115,0.0310665
240,120,0.0371245
250,125,0.0440545
260,130,0.047142
270,135,0.0535317
280,140,0.0632957
290,145,0.0680017
300,150,0.075676
310,155,0.0841677
320,160,0.107736
330,165,0.101956
340,170,0.114688
350,175,0.124291
360,180,0.136475
370,185,0.1492
380,190,0.158345
390,195,0.173458
400,200,0.189096
410,205,0.202624
420,210,0.218597
430,215,0.234783
440,220,0.251289
450,225,0.269475
460,230,0.294597
470,235,0.307894
480,240,0.341601
490,245,0.355548
500,250,0.372481
510,255,0.400032
520,260,0.437496
530,265,0.447446
540,270,0.479132
550,275,0.507636
560,280,0.539863
570,285,0.572357
580,290,0.60074
590,295,0.642653
600,300,0.666392
610,305,0.714657
620,310,0.739235
630,315,0.775709
640,320,0.816225
650,325,0.882076
660,330,0.904359
670,335,0.960053
680,340,0.997185
690,345,1.04795
700,350,1.11496
710,355,1.15425
720,360,1.22763
730,365,1.27035
740,370,1.34762
750,375,1.41024
760,380,1.47984
770,385,1.57383
780,390,1.63535
790,395,1.69022
800,400,1.78397
810,405,1.86397
820,410,1.94291
830,415,2.0484
840,420,2.13809
850,425,2.23804
860,430,2.33961
870,435,2.48846
880,440,2.59744
890,445,2.68243
900,450,2.82566
910,455,2.94808
920,460,3.07881
930,465,3.1987
