Dim,Key,TempoM
10,1,-2.46332e-06
20,1,-8.33334e-07
30,1,-1.79487e-06
40,1,-1.1218e-06
50,1,-2.25455e-06
60,1,-1.18889e-06
70,1,-1.375e-06
80,1,-1.46428e-06
90,1,1.42856e-07
100,1,1.16667e-06
110,1,-6.2e-06
120,1,2.33333e-06
130,1,-6.03333e-06
140,1,-1.6e-06
150,1,-2e-06
160,1,1.2e-06
170,1,-4.1e-06
180,1,4.5e-06
190,1,-4.25e-06
200,1,-1.25e-06
210,1,2.25e-06
220,1,-3e-06
230,1,4.99997e-07
240,1,3.33333e-06
250,1,2.33333e-06
260,1,-1.00001e-06
270,1,1.33333e-06
280,1,-6.66667e-07
290,1,4.99999e-06
300,1,2.33333e-06
310,1,2.33333e-06
320,1,-1.35e-05
330,1,3.33341e-07
340,1,-8.5e-06
350,1,4.66667e-06
360,1,1.06667e-05
370,1,5e-06
380,1,2.4e-05
390,1,-4.25e-05
400,1,1.9e-05
410,1,8.5e-06
420,1,4.99997e-07
430,1,6e-06
440,1,9e-06
450,1,1e-06
460,1,1.25e-05
470,1,1.99999e-06
480,1,9e-06
490,1,8e-06
500,1,1.4e-05
510,1,6e-06
520,1,1.65e-05
530,1,2.5e-06
540,1,1.45e-05
550,1,5.00004e-07
560,1,6.49999e-06
570,1,7.5e-06
580,1,2.2e-05
590,1,-3.4e-05
600,1,5.5e-06
610,1,-6.50001e-06
620,1,5.00001e-06
630,1,1.9e-05
640,1,1.50001e-06
650,1,5.8e-05
660,1,1.2e-05
670,1,1.2e-05
680,1,-2.2e-05
690,1,4.99999e-06
700,1,-4.2e-05
710,1,1.05e-05
720,1,1.8e-05
730,1,1.7e-05
740,1,2.3e-05
750,1,2.2e-05
760,1,2.45e-05
770,1,1.15e-05
780,1,1.2e-05
790,1,8.5e-05
800,1,4e-06
810,1,1.7e-05
820,1,2.7e-05
830,1,-1.5e-05
840,1,-2e-06
850,1,2.7e-05
860,1,1.5e-05
870,1,2.2e-05
880,1,2.4e-05
890,1,1.9e-05
900,1,7e-06
910,1,1.9e-05
920,1,4e-05
930,1,1.4e-05
940,1,1.6e-05
950,1,3.4e-05
960,1,4.99999e-06
970,1,1.2e-05
980,1,2.9e-05
990,1,3.5e-05
1000,1,-4e-06
1010,1,-3.2e-05
1020,1,4.5e-05
1030,1,1.9e-05
1040,1,1.5e-05
1050,1,9.00001e-06
1060,1,2.3e-05
1070,1,2.1e-05
1080,1,3.2e-05
1090,1,2.7e-05
1100,1,3.4e-05
1110,1,2.1e-05
1120,1,1.8e-05
1130,1,2e-05
1140,1,7e-06
1150,1,2e-05
1160,1,3.9e-05
1170,1,1.8e-05
1180,1,3.2e-05
1190,1,2.9e-05
1200,1,2.9e-05
1210,1,1.3e-05
1220,1,7.6e-05
1230,1,9.99999e-06
1240,1,1.2e-05
1250,1,1e-05
1260,1,3.4e-05
1270,1,3.9e-05
1280,1,2.4e-05
1290,1,0
1300,1,2.7e-05
1310,1,2.00002e-06
1320,1,1.2e-05
1330,1,2.7e-05
1340,1,1.99999e-06
1350,1,1.4e-05
1360,1,-2e-05
1370,1,2.2e-05
1380,1,-8e-06
1390,1,2.2e-05
1400,1,5e-05
1410,1,2e-05
1420,1,9.00001e-06
1430,1,3.6e-05
1440,1,4.99998e-06
1450,1,1.3e-05
1460,1,1e-05
1470,1,4.99998e-06
1480,1,1.3e-05
1490,1,-1.1e-05
1500,1,1.8e-05
1510,1,3.5e-05
1520,1,2.2e-05
1530,1,9e-05
1540,1,0.000136
1550,1,6.8e-05
1560,1,8.4e-05
1570,1,1.4e-05
1580,1,3.2e-05
1590,1,9.00001e-06
1600,1,4.7e-05
1610,1,1.8e-05
1620,1,7.3e-05
1630,1,4.6e-05
1640,1,5.99999e-06
1650,1,4.7e-05
1660,1,3.5e-05
1670,1,2.7e-05
1680,1,5.1e-05
1690,1,4.5e-05
1700,1,2.5e-05
1710,1,1e-05
1720,1,2.9e-05
1730,1,3.1e-05
1740,1,4.4e-05
1750,1,4.1e-05
1760,1,-2.4e-05
1770,1,5.4e-05
1780,1,2.1e-05
1790,1,6.00002e-06
1800,1,3.5e-05
1810,1,-7.5e-05
1820,1,0.000185
1830,1,6.7e-05
1840,1,2.5e-05
1850,1,1.4e-05
1860,1,7.99997e-06
1870,1,1.7e-05
1880,1,3.9e-05
1890,1,2.1e-05
1900,1,8.5e-05
1910,1,6.7e-05
1920,1,9.7e-05
1930,1,5.00004e-06
1940,1,8.8e-05
1950,1,-2.9e-05
1960,1,5.6e-05
1970,1,5.1e-05
1980,1,1.5e-05
1990,1,6.3e-05
2000,1,7.3e-05
2010,1,4.8e-05
2020,1,3.7e-05
2030,1,0.000105
2040,1,0.000285
2050,1,0.000196
2060,1,-0.000267
2070,1,0.000148
2080,1,6.4e-05
2090,1,3.6e-05
2100,1,1.4e-05
2110,1,9.99996e-06
2120,1,6e-05
2130,1,8e-06
2140,1,1.5e-05
2150,1,-3.2e-05
2160,1,3.1e-05
2170,1,2.1e-05
2180,1,4.7e-05
2190,1,4.3e-05
2200,1,8.7e-05
2210,1,6.9e-05
2220,1,9.99996e-06
