Dim,Key,TempoM
10,8,-4.8875e-06
20,18,-1.63333e-06
30,28,-1.40278e-06
40,38,-1.28572e-06
50,48,-1.5e-06
60,58,-1.33333e-06
70,68,-5.00004e-08
80,78,-2.33333e-06
90,88,3e-06
100,98,5.66666e-06
110,108,3.5e-06
120,118,2.5e-06
130,128,-6.50001e-06
140,138,-1.66666e-06
150,148,3.33333e-06
160,158,1.2e-05
170,168,-4.5e-06
180,178,2e-06
190,188,2e-06
200,198,-7.5e-06
210,208,4.5e-06
220,218,-9e-06
230,228,-1.8e-05
240,238,1.25e-05
250,248,-2e-06
260,258,1e-05
270,268,9.99999e-06
280,278,-3.35e-05
290,288,1.4e-05
300,298,1.00001e-06
310,308,6e-06
320,318,1.9e-05
330,328,9e-06
340,338,7.99999e-06
350,348,1.5e-05
360,358,-1e-05
370,368,7e-06
380,378,1.2e-05
390,388,1.3e-05
400,398,-5e-05
410,408,1e-05
420,418,6e-06
430,428,1.2e-05
440,438,5.99999e-06
450,448,9e-06
460,458,5.99999e-06
470,468,9e-06
480,478,1.1e-05
490,488,1e-05
500,498,5e-05
510,508,3.2e-05
520,518,9e-06
530,528,9e-06
540,538,2e-06
550,548,-6e-05
560,558,4e-06
570,568,2.99999e-06
580,578,-2.1e-05
590,588,1.4e-05
600,598,4.5e-05
610,608,1.9e-05
620,618,-4.4e-05
630,628,6e-06
640,638,1.7e-05
650,648,1.6e-05
660,658,-3.1e-05
670,668,1.8e-05
680,678,-1.99999e-06
690,688,-1.3e-05
700,698,-1.6e-05
710,708,-2.7e-05
720,718,3.00001e-06
730,728,2e-05
740,738,1.1e-05
750,748,1.2e-05
760,758,1.1e-05
770,768,1.6e-05
780,778,3.00001e-06
790,788,2.7e-05
800,798,1.00001e-06
810,808,5.6e-05
820,818,1e-05
830,828,2e-05
840,838,1.6e-05
850,848,1.1e-05
860,858,1.6e-05
870,868,-4e-06
880,878,1.3e-05
890,888,2.2e-05
900,898,2e-05
910,908,1.9e-05
920,918,1.6e-05
930,928,1.7e-05
940,938,9e-06
950,948,1.2e-05
960,958,5e-05
970,968,2.2e-05
980,978,1.3e-05
990,988,1e-05
1000,998,2.1e-05
1010,1008,2.1e-05
1020,1018,1.6e-05
1030,1028,1.3e-05
1040,1038,-7.00002e-06
1050,1048,-2.8e-05
1060,1058,0.000102
1070,1068,1.9e-05
1080,1078,9.99999e-06
1090,1088,1.3e-05
1100,1098,1.4e-05
1110,1108,2.1e-05
1120,1118,2.4e-05
1130,1128,2.3e-05
1140,1138,2.3e-05
1150,1148,9.00001e-06
1160,1158,1.6e-05
1170,1168,2.9e-05
1180,1178,2.6e-05
1190,1188,-1.8e-05
1200,1198,2.8e-05
1210,1208,4.5e-05
1220,1218,-5.99999e-06
1230,1228,1.7e-05
1240,1238,-2.99999e-06
1250,1248,2.1e-05
1260,1258,1.5e-05
1270,1268,1.9e-05
1280,1278,2.3e-05
1290,1288,1.9e-05
1300,1298,2.7e-05
1310,1308,3.1e-05
1320,1318,3.2e-05
1330,1328,1.9e-05
1340,1338,2.4e-05
1350,1348,2.7e-05
1360,1358,2.1e-05
1370,1368,2.9e-05
1380,1378,3e-05
1390,1388,2.3e-05
1400,1398,6.6e-05
1410,1408,4e-05
1420,1418,5.1e-05
1430,1428,5.6e-05
1440,1438,2e-05
1450,1448,3.3e-05
1460,1458,2.1e-05
1470,1468,3.5e-05
1480,1478,3.2e-05
1490,1488,3.3e-05
1500,1498,3.7e-05
1510,1508,2.2e-05
1520,1518,2.5e-05
1530,1528,2.8e-05
1540,1538,6.00002e-06
1550,1548,-7.5e-05
1560,1558,2.2e-05
1570,1568,3.2e-05
1580,1578,1.9e-05
1590,1588,3.6e-05
1600,1598,2.8e-05
1610,1608,3.5e-05
1620,1618,1.5e-05
1630,1628,2.8e-05
1640,1638,5.6e-05
1650,1648,2.3e-05
1660,1658,3.5e-05
1670,1668,5.2e-05
1680,1678,-5.00001e-06
1690,1688,8.5e-05
1700,1698,-0.000185
1710,1708,2.2e-05
1720,1718,3.1e-05
1730,1728,3e-05
1740,1738,3.7e-05
1750,1748,3.6e-05
1760,1758,4.7e-05
1770,1768,-9.99999e-06
1780,1778,4.7e-05
1790,1788,6.5e-05
1800,1798,-2.9e-05
1810,1808,1.2e-05
1820,1818,2e-05
1830,1828,2.8e-05
1840,1838,3.9e-05
1850,1848,3.4e-05
1860,1858,2.8e-05
1870,1868,3.9e-05
1880,1878,4.2e-05
1890,1888,1.3e-05
1900,1898,1.6e-05
1910,1908,3.4e-05
1920,1918,2.4e-05
1930,1928,-0.000262
1940,1938,2.1e-05
1950,1948,3.3e-05
1960,1958,6.1e-05
1970,1968,4.7e-05
1980,1978,3.8e-05
1990,1988,3.4e-05
2000,1998,2.5e-05
2010,2008,7.7e-05
2020,2018,-7.7e-05
2030,2028,-1e-05
2040,2038,-7.1e-05
2050,2048,3.6e-05
2060,2058,3.8e-05
2070,2068,3.3e-05
2080,2078,-0.000659
2090,2088,0.000103
2100,2098,5.8e-05
2110,2108,0.000219
2120,2118,0.000162
2130,2128,3.7e-05
2140,2138,3.1e-05
2150,2148,4.3e-05
2160,2158,4.4e-05
2170,2168,4.9e-05
2180,2178,5e-05
2190,2188,3.9e-05
2200,2198,0.000129
2210,2208,0.000188
2220,2218,7.8e-05
2230,2228,6.6e-05
2240,2238,2.9e-05
2250,2248,3e-05
2260,2258,5.1e-05
2270,2268,4e-05
2280,2278,1.9e-05
2290,2288,-4.99998e-06
2300,2298,1.7e-05
2310,2308,-0.000179
2320,2318,3.9e-05
2330,2328,4.7e-05
2340,2338,4.3e-05
2350,2348,4.1e-05
2360,2358,4.6e-05
2370,2368,4.1e-05
2380,2378,0
2390,2388,-0.000149
2400,2398,-3.9e-05
2410,2408,5.4e-05
2420,2418,6.4e-05
2430,2428,6e-05
2440,2438,2.9e-05
2450,2448,4.3e-05
2460,2458,7.9e-05
2470,2468,0.000105
2480,2478,0.000156
2490,2488,6.5e-05
2500,2498,4.6e-05
2510,2508,6.19999e-05
2520,2518,3e-05
2530,2528,4.1e-05
2540,2538,6.3e-05
2550,2548,8.4e-05
2560,2558,0.00015
2570,2568,0.000168
2580,2578,4.6e-05
2590,2588,5.4e-05
2600,2598,2.9e-05
2610,2608,2.3e-05
2620,2618,4.7e-05
2630,2628,8.6e-05
2640,2638,3.1e-05
