Dim,Key,TempoM
10,5,-1.97147e-06
20,10,4.94253e-07
30,15,1.04261e-06
40,20,4.37501e-07
50,25,3.3e-06
60,30,2.91667e-06
70,35,3.87879e-06
80,40,6.01136e-06
90,45,1.02727e-05
100,50,9.44286e-06
110,55,1.15556e-05
120,60,1.715e-05
130,65,1.6775e-05
140,70,1.84e-05
150,75,4.69333e-05
160,80,4.20667e-05
170,85,2.68667e-05
180,90,3.5e-05
190,95,4.08333e-05
200,100,4.08e-05
210,105,8.63333e-05
220,110,5.53e-05
230,115,5.74e-05
240,120,6.27e-05
250,125,6.78e-05
260,130,7.43e-05
270,135,8.13e-05
280,140,8.87e-05
290,145,9.225e-05
300,150,0.00011075
310,155,0.000113
320,160,0.00011175
330,165,0.00013725
340,170,0.00012975
350,175,0.0001395
360,180,0.00027175
370,185,0.000131333
380,190,0.000164
390,195,0.0002105
400,200,0.00022425
410,205,0.000186667
420,210,0.000198
430,215,0.000204667
440,220,0.000215667
450,225,0.000224333
460,230,0.000239
470,235,0.000259667
480,240,0.000291
490,245,0.000268667
500,250,0.000280333
510,255,0.000291667
520,260,0.000298667
530,265,0.000319
540,270,0.000343667
550,275,0.000373
560,280,0.000354333
570,285,0.000369
580,290,0.000393667
590,295,0.000395333
600,300,0.000418
610,305,0.000415
620,310,0.0004995
630,315,0.00061
640,320,0.0006155
650,325,0.000599
660,330,0.0005515
670,335,0.0005205
680,340,0.0005235
690,345,0.0005405
700,350,0.0005745
710,355,0.0005695
720,360,0.000595
730,365,0.000601
740,370,0.000623
750,375,0.000711
760,380,0.0006545
770,385,0.000667
780,390,0.0006935
790,395,0.000704
800,400,0.0007515
810,405,0.000741
820,410,0.0008135
830,415,0.000932
840,420,0.0008245
850,425,0.000802
860,430,0.000848
870,435,0.000876
880,440,0.0008945
890,445,0.001019
900,450,0.000997
910,455,0.00091
920,460,0.001049
930,465,0.0010675
940,470,0.001101
950,475,0.0010355
960,480,0.001067
970,485,0.0010845
980,490,0.0012135
990,495,0.001153
1000,500,0.001126
1010,505,0.00121
1020,510,0.001765
1030,515,0.001544
1040,520,0.0013385
1050,525,0.0013255
1060,530,0.0013015
1070,535,0.001607
1080,540,0.001932
1090,545,0.001882
1100,550,0.001384
1110,555,0.002148
1120,560,0.002268
1130,565,0.001903
1140,570,0.001578
1150,575,0.0015345
1160,580,0.0015385
1170,585,0.001567
1180,590,0.0018
1190,595,0.0016775
1200,600,0.0016935
1210,605,0.0016515
1220,610,0.001689
1230,615,0.001831
1240,620,0.001863
1250,625,0.001853
1260,630,0.0018705
1270,635,0.002788
1280,640,0.001799
1290,645,0.001968
1300,650,0.002082
1310,655,0.002005
1320,660,0.002028
1330,665,0.002029
1340,670,0.002067
1350,675,0.002191
1360,680,0.002299
1370,685,0.002118
1380,690,0.002176
1390,695,0.002189
1400,700,0.00236
1410,705,0.002503
1420,710,0.002353
1430,715,0.002379
1440,720,0.002358
1450,725,0.002626
1460,730,0.002511
1470,735,0.002642
1480,740,0.002475
1490,745,0.002553
1500,750,0.002765
1510,755,0.002777
1520,760,0.002697
1530,765,0.00271
1540,770,0.002698
1550,775,0.002917
1560,780,0.002917
1570,785,0.002804
1580,790,0.002847
1590,795,0.002991
1600,800,0.003083
1610,805,0.002939
1620,810,0.003036
1630,815,0.003035
1640,820,0.003476
1650,825,0.003207
1660,830,0.003311
1670,835,0.003333
1680,840,0.003416
1690,845,0.003232
1700,850,0.003247
1710,855,0.003575
1720,860,0.003681
1730,865,0.0034
1740,870,0.003495
1750,875,0.003845
1760,880,0.003958
1770,885,0.003666
1780,890,0.003939
1790,895,0.003854
1800,900,0.003694
1810,905,0.003785
1820,910,0.004166
1830,915,0.003857
1840,920,0.003969
1850,925,0.004539
1860,930,0.004999
1870,935,0.004343
1880,940,0.005518
1890,945,0.004948
1900,950,0.004701
1910,955,0.004495
1920,960,0.004627
1930,965,0.00487
1940,970,0.004671
1950,975,0.004923
1960,980,0.006096
1970,985,0.004656
1980,990,0.005911
1990,995,0.005541
2000,1000,0.006186
2010,1005,0.005881
2020,1010,0.005988
2030,1015,0.005413
2040,1020,0.004823
2050,1025,0.005395
2060,1030,0.004939
2070,1035,0.004941
2080,1040,0.005455
2090,1045,0.005093
2100,1050,0.005239
2110,1055,0.005427
2120,1060,0.00514
2130,1065,0.005487
2140,1070,0.005264
2150,1075,0.005438
2160,1080,0.005739
2170,1085,0.006288
2180,1090,0.005646
2190,1095,0.00557
2200,1100,0.005801
2210,1105,0.005549
2220,1110,0.006057
2230,1115,0.006715
2240,1120,0.005565
2250,1125,0.0058
2260,1130,0.006048
2270,1135,0.005962
2280,1140,0.006136
2290,1145,0.006809
2300,1150,0.006035
2310,1155,0.006599
2320,1160,0.006144
2330,1165,0.006583
2340,1170,0.006288
2350,1175,0.006633
2360,1180,0.006372
2370,1185,0.006928
2380,1190,0.006521
2390,1195,0.006728
2400,1200,0.006942
2410,1205,0.006948
2420,1210,0.006672
2430,1215,0.006856
2440,1220,0.00681
2450,1225,0.006938
2460,1230,0.006904
2470,1235,0.007145
2480,1240,0.007066
2490,1245,0.007399
2500,1250,0.007189
2510,1255,0.008021
2520,1260,0.007323
2530,1265,0.007646
2540,1270,0.007456
2550,1275,0.008135
2560,1280,0.007699
2570,1285,0.007812
2580,1290,0.007731
2590,1295,0.008014
2600,1300,0.008076
2610,1305,0.007924
2620,1310,0.008289
2630,1315,0.007876
2640,1320,0.008352
2650,1325,0.008239
2660,1330,0.008345
2670,1335,0.008566
2680,1340,0.00824
2690,1345,0.008632
2700,1350,0.008576
2710,1355,0.008624
2720,1360,0.009099
2730,1365,0.008546
2740,1370,0.009087
2750,1375,0.008904
2760,1380,0.008748
2770,1385,0.009063
2780,1390,0.009048
2790,1395,0.010529
2800,1400,0.009227
2810,1405,0.009353
2820,1410,0.009128
2830,1415,0.009897
2840,1420,0.009477
2850,1425,0.009381
2860,1430,0.00993
2870,1435,0.009614
2880,1440,0.009532
2890,1445,0.009968
2900,1450,0.010121
2910,1455,0.010082
2920,1460,0.010592
2930,1465,0.01028
2940,1470,0.010059
2950,1475,0.011208
2960,1480,0.010552
2970,1485,0.010763
2980,1490,0.010329
2990,1495,0.010445
3000,1500,0.01061
3010,1505,0.011127
3020,1510,0.010939
3030,1515,0.011503
3040,1520,0.01092
3050,1525,0.010984
3060,1530,0.011214
3070,1535,0.011114
3080,1540,0.011179
3090,1545,0.011474
3100,1550,0.01149
3110,1555,0.011286
3120,1560,0.011212
3130,1565,0.011182
3140,1570,0.011601
3150,1575,0.011499
3160,1580,0.012327
3170,1585,0.012313
3180,1590,0.011653
3190,1595,0.013914
3200,1600,0.011834
3210,1605,0.012133
3220,1610,0.01198
3230,1615,0.012409
3240,1620,0.012565
3250,1625,0.012231
3260,1630,0.012312
3270,1635,0.01249
3280,1640,0.012525
3290,1645,0.01269
3300,1650,0.012867
3310,1655,0.012907
3320,1660,0.013014
3330,1665,0.013012
3340,1670,0.013195
3350,1675,0.013272
3360,1680,0.013355
3370,1685,0.013149
3380,1690,0.01313
3390,1695,0.013828
3400,1700,0.013318
3410,1705,0.013686
3420,1710,0.01377
3430,1715,0.013769
3440,1720,0.013937
3450,1725,0.013936
3460,1730,0.014059
3470,1735,0.014051
3480,1740,0.014348
3490,1745,0.014167
3500,1750,0.014771
3510,1755,0.014351
3520,1760,0.016536
3530,1765,0.014553
3540,1770,0.014642
3550,1775,0.015083
3560,1780,0.014833
3570,1785,0.015003
3580,1790,0.014982
3590,1795,0.015311
3600,1800,0.015968
3610,1805,0.015368
3620,1810,0.015313
3630,1815,0.015887
3640,1820,0.015213
3650,1825,0.015557
3660,1830,0.015596
3670,1835,0.016662
3680,1840,0.015826
3690,1845,0.01606
3700,1850,0.016184
3710,1855,0.016771
3720,1860,0.016289
3730,1865,0.016243
3740,1870,0.016446
3750,1875,0.016591
3760,1880,0.01646
3770,1885,0.017988
3780,1890,0.016811
3790,1895,0.018598
3800,1900,0.016601
3810,1905,0.016956
3820,1910,0.017101
3830,1915,0.017329
3840,1920,0.017406
3850,1925,0.017309
3860,1930,0.017566
3870,1935,0.02118
3880,1940,0.019915
3890,1945,0.022371
3900,1950,0.020248
3910,1955,0.017898
3920,1960,0.018182
3930,1965,0.018549
3940,1970,0.018143
3950,1975,0.018177
3960,1980,0.018193
3970,1985,0.018429
3980,1990,0.018378
3990,1995,0.018482
4000,2000,0.018577
4010,2005,0.018814
4020,2010,0.018856
4030,2015,0.020626
4040,2020,0.019139
4050,2025,0.01944
4060,2030,0.020237
4070,2035,0.021098
4080,2040,0.019276
4090,2045,0.019661
4100,2050,0.019814
4110,2055,0.019467
4120,2060,0.019765
4130,2065,0.019884
4140,2070,0.019892
4150,2075,0.019961
4160,2080,0.020255
4170,2085,0.020061
4180,2090,0.021123
4190,2095,0.020442
4200,2100,0.020237
4210,2105,0.020826
4220,2110,0.020741
4230,2115,0.020255
4240,2120,0.020972
4250,2125,0.022708
4260,2130,0.021441
4270,2135,0.021048
4280,2140,0.021381
4290,2145,0.021283
4300,2150,0.021567
4310,2155,0.021415
4320,2160,0.021617
4330,2165,0.021916
4340,2170,0.021883
4350,2175,0.021968
4360,2180,0.021991
4370,2185,0.022351
4380,2190,0.022087
4390,2195,0.02249
4400,2200,0.022711
4410,2205,0.022781
4420,2210,0.022523
4430,2215,0.02282
4440,2220,0.022854
4450,2225,0.024859
4460,2230,0.023095
4470,2235,0.023038
4480,2240,0.023221
4490,2245,0.023182
4500,2250,0.02372
4510,2255,0.023894
4520,2260,0.025281
4530,2265,0.023892
4540,2270,0.023641
4550,2275,0.027638
4560,2280,0.028954
4570,2285,0.027491
4580,2290,0.024201
4590,2295,0.024623
4600,2300,0.024498
4610,2305,0.024219
4620,2310,0.024631
4630,2315,0.026648
4640,2320,0.024846
4650,2325,0.02529
4660,2330,0.025008
4670,2335,0.025151
4680,2340,0.025389
4690,2345,0.025636
4700,2350,0.025509
4710,2355,0.025602
4720,2360,0.025926
4730,2365,0.026269
4740,2370,0.026002
4750,2375,0.026057
4760,2380,0.026162
4770,2385,0.026207
4780,2390,0.026372
4790,2395,0.026604
4800,2400,0.028726
4810,2405,0.026963
4820,2410,0.027069
4830,2415,0.026945
4840,2420,0.027557
4850,2425,0.027108
4860,2430,0.028734
4870,2435,0.027589
4880,2440,0.027463
4890,2445,0.027906
4900,2450,0.027555
4910,2455,0.028302
4920,2460,0.028303
4930,2465,0.02812
4940,2470,0.028243
4950,2475,0.028638
4960,2480,0.031013
4970,2485,0.028328
4980,2490,0.028759
4990,2495,0.028612
5000,2500,0.028982
5010,2505,0.029011
5020,2510,0.029285
5030,2515,0.0291
5040,2520,0.029416
5050,2525,0.029465
5060,2530,0.029731
5070,2535,0.029718
5080,2540,0.030095
5090,2545,0.030196
5100,2550,0.030105
5110,2555,0.030103
5120,2560,0.032008
5130,2565,0.030547
5140,2570,0.030506
5150,2575,0.030553
5160,2580,0.030602
5170,2585,0.031858
5180,2590,0.03108
5190,2595,0.030972
5200,2600,0.031285
5210,2605,0.031421
5220,2610,0.031863
5230,2615,0.031672
5240,2620,0.031701
5250,2625,0.03184
5260,2630,0.033517
5270,2635,0.032076
5280,2640,0.032373
5290,2645,0.032353
5300,2650,0.03303
5310,2655,0.033054
5320,2660,0.032682
5330,2665,0.032859
5340,2670,0.032991
5350,2675,0.033009
5360,2680,0.033024
5370,2685,0.033307
5380,2690,0.033288
5390,2695,0.033276
5400,2700,0.035531
5410,2705,0.033927
5420,2710,0.034644
5430,2715,0.034162
5440,2720,0.034002
5450,2725,0.035355
5460,2730,0.03463
5470,2735,0.034461
5480,2740,0.03467
5490,2745,0.035742
5500,2750,0.034932
5510,2755,0.035675
5520,2760,0.035106
5530,2765,0.036902
5540,2770,0.035445
5550,2775,0.03587
5560,2780,0.035579
5570,2785,0.041519
5580,2790,0.042396
5590,2795,0.035794
5600,2800,0.036414
5610,2805,0.036252
5620,2810,0.036498
5630,2815,0.036746
5640,2820,0.036454
5650,2825,0.036674
5660,2830,0.038654
5670,2835,0.037043
5680,2840,0.037339
5690,2845,0.037382
5700,2850,0.039174
5710,2855,0.037606
5720,2860,0.037805
5730,2865,0.037793
5740,2870,0.038724
5750,2875,0.038156
5760,2880,0.038732
5770,2885,0.036863
5780,2890,0.044342
5790,2895,0.038834
5800,2900,0.03886
5810,2905,0.038913
5820,2910,0.039087
5830,2915,0.039213
5840,2920,0.03972
5850,2925,0.039331
5860,2930,0.03934
5870,2935,0.040697
5880,2940,0.040762
