Dim,Key,TempoM
2,1,-1.74747e-06
12,11,-1.22727e-06
22,21,4.28571e-07
32,31,1.33333e-06
42,41,2.4e-06
52,51,1e-06
62,61,2.49998e-07
72,71,5e-06
82,81,2.33333e-06
92,91,1.28333e-05
102,101,4.83333e-06
112,111,7.5e-06
122,121,4.5e-06
132,131,-2.5e-06
142,141,2e-06
152,151,-2e-06
162,161,3.5e-06
172,171,2.5e-06
182,181,5e-06
192,191,1.15e-05
202,201,1.2e-05
212,211,1e-06
222,221,1.4e-05
232,231,-1.3e-05
242,241,8e-06
252,251,6e-06
262,261,6e-06
272,271,-1e-06
282,281,-1.00001e-06
292,291,1.00001e-06
302,301,6.5e-06
312,311,1.5e-05
322,321,2.05e-05
332,331,-1.8e-05
342,341,1.5e-05
352,351,7e-06
362,361,0
372,371,1.3e-05
382,381,4.8e-05
392,391,4e-06
402,401,1e-05
412,411,1.4e-05
422,421,1.1e-05
432,431,1e-05
442,441,9e-06
452,451,1.9e-05
462,461,-6e-06
472,471,4e-06
482,481,-1.9e-05
492,491,-4.99999e-06
502,501,3.6e-05
512,511,3.99999e-06
522,521,1e-05
532,531,3.3e-05
542,541,1.4e-05
552,551,7e-06
562,561,1.8e-05
572,571,1.3e-05
582,581,3.9e-05
592,591,2e-06
602,601,6e-06
612,611,3.2e-05
622,621,1.4e-05
632,631,4e-06
642,641,1e-05
652,651,2.99999e-06
662,661,2.2e-05
672,671,1.1e-05
682,681,9e-06
692,691,1.4e-05
702,701,7.00001e-06
712,711,-9e-06
722,721,1e-05
732,731,1.6e-05
742,741,1.3e-05
752,751,1.4e-05
762,761,1.5e-05
772,771,5e-05
782,781,1e-05
792,791,1.9e-05
802,801,2.5e-05
812,811,-2.7e-05
822,821,2.2e-05
832,831,-5.4e-05
842,841,-3.1e-05
852,851,7.00001e-06
862,861,1e-05
872,871,4e-06
882,881,4e-06
892,891,8e-06
902,901,1.4e-05
912,911,3.7e-05
922,921,2e-06
932,931,1.1e-05
942,941,1.9e-05
952,951,1.6e-05
962,961,1.4e-05
972,971,1.8e-05
982,981,-1.4e-05
992,991,1.7e-05
1002,1001,1.5e-05
1012,1011,1.9e-05
1022,1021,-3.9e-05
1032,1031,7.00002e-06
1042,1041,1.5e-05
1052,1051,1.5e-05
1062,1061,1.1e-05
1072,1071,0.000107
1082,1081,2.4e-05
1092,1091,2.8e-05
1102,1101,-3.5e-05
1112,1111,-2.9e-05
1122,1121,1.7e-05
1132,1131,3.4e-05
1142,1141,1.3e-05
1152,1151,1.6e-05
1162,1161,2.8e-05
1172,1171,7e-05
1182,1181,3.5e-05
1192,1191,3e-05
1202,1201,2.1e-05
1212,1211,2.2e-05
1222,1221,1.5e-05
1232,1231,1.7e-05
1242,1241,1.3e-05
1252,1251,2.3e-05
1262,1261,3.1e-05
1272,1271,8e-06
1282,1281,-4.7e-05
1292,1291,2.3e-05
1302,1301,2.6e-05
1312,1311,2.2e-05
1322,1321,1.7e-05
1332,1331,5.1e-05
1342,1341,6.9e-05
1352,1351,2.7e-05
1362,1361,2.5e-05
1372,1371,1.9e-05
1382,1381,2.3e-05
1392,1391,2.2e-05
1402,1401,2.9e-05
1412,1411,4e-05
1422,1421,-2.99999e-06
1432,1431,5.8e-05
1442,1441,3.9e-05
1452,1451,-0.000154
1462,1461,4.5e-05
1472,1471,3.6e-05
1482,1481,-7e-06
1492,1491,2e-05
1502,1501,8.6e-05
1512,1511,1.5e-05
1522,1521,8.2e-05
1532,1531,3.7e-05
1542,1541,1.5e-05
1552,1551,3.5e-05
1562,1561,2.8e-05
1572,1571,5.4e-05
1582,1581,2.5e-05
1592,1591,2.7e-05
1602,1601,6.2e-05
1612,1611,7.1e-05
1622,1621,3.1e-05
1632,1631,5.9e-05
1642,1641,1.3e-05
1652,1651,3.3e-05
1662,1661,3.6e-05
1672,1671,1.8e-05
1682,1681,2.7e-05
1692,1691,3e-05
1702,1701,5.8e-05
1712,1711,-4e-06
1722,1721,1e-05
1732,1731,-1.2e-05
1742,1741,0.000222
1752,1751,5.8e-05
1762,1761,7.4e-05
1772,1771,-6.3e-05
1782,1781,1e-05
1792,1791,0.000146
1802,1801,3.1e-05
1812,1811,-1.00001e-06
1822,1821,4.2e-05
1832,1831,0.000133
1842,1841,3e-05
1852,1851,-6.4e-05
1862,1861,4.1e-05
1872,1871,7.2e-05
1882,1881,3.9e-05
1892,1891,2.8e-05
1902,1901,4.2e-05
1912,1911,3.7e-05
1922,1921,5.2e-05
1932,1931,0.000116
1942,1941,4.7e-05
1952,1951,5e-05
1962,1961,-6.2e-05
1972,1971,4.5e-05
1982,1981,4.1e-05
1992,1991,4.9e-05
2002,2001,5.1e-05
2012,2011,1.59999e-05
2022,2021,-2.8e-05
2032,2031,2.5e-05
2042,2041,0.000104
2052,2051,4.3e-05
2062,2061,6.3e-05
2072,2071,4.3e-05
2082,2081,3.99997e-06
2092,2091,6.2e-05
2102,2101,-3.00002e-06
2112,2111,9.8e-05
2122,2121,9.7e-05
2132,2131,2.8e-05
2142,2141,7.9e-05
2152,2151,4.2e-05
2162,2161,3.5e-05
2172,2171,4.1e-05
2182,2181,4e-05
2192,2191,8.9e-05
2202,2201,7e-06
2212,2211,0.000325
2222,2221,-0.00031
2232,2231,1.5e-05
2242,2241,2.7e-05
2252,2251,5.5e-05
2262,2261,5.6e-05
2272,2271,3.7e-05
2282,2281,2.6e-05
2292,2291,5.3e-05
2302,2301,0.000103
2312,2311,6.7e-05
2322,2321,3.00002e-06
2332,2331,0.000101
2342,2341,7.7e-05
2352,2351,4.1e-05
2362,2361,4.4e-05
2372,2371,7.1e-05
2382,2381,5.3e-05
2392,2391,8.9e-05
2402,2401,4.6e-05
2412,2411,8.8e-05
2422,2421,8.7e-05
2432,2431,-4.4e-05
2442,2441,6.7e-05
2452,2451,-2e-05
2462,2461,3.4e-05
2472,2471,5e-05
2482,2481,5.9e-05
2492,2491,0.000214
2502,2501,8.49999e-05
2512,2511,-0.000138
2522,2521,-0.000192
2532,2531,0.000133
2542,2541,-0.00022
2552,2551,-2.00002e-06
2562,2561,7e-05
2572,2571,0.000108
2582,2581,-3.7e-05
2592,2591,8e-05
2602,2601,0.000122
2612,2611,-0.000116
2622,2621,4.1e-05
2632,2631,0.000397
2642,2641,0.000184
