Dim,Key,TempoM
2,0,-8.16667e-07
12,5,-3.33333e-07
22,10,-1.02e-05
32,15,-8.74999e-07
42,20,5e-07
52,25,4.6e-06
62,30,-2.2e-06
72,35,-2.25e-06
82,40,3.33333e-07
92,45,-3.33333e-07
102,50,-1.66667e-06
112,55,-1.33333e-06
122,60,-1.01667e-05
132,65,7e-06
142,70,-2e-06
152,75,3.5e-06
162,80,4.5e-06
172,85,5e-06
182,90,7.5e-06
192,95,-1e-05
202,100,6e-06
212,105,8e-06
222,110,3.5e-06
232,115,-2.5e-06
242,120,1.5e-06
252,125,1e-06
262,130,-1e-06
272,135,1.5e-06
282,140,2.5e-06
292,145,5.5e-06
302,150,4.99999e-06
312,155,3e-06
322,160,5e-06
332,165,8e-06
342,170,5.99999e-06
352,175,1.05e-05
362,180,9e-06
372,185,6e-06
382,190,8.5e-06
392,195,1.3e-05
402,200,1.4e-05
412,205,1.6e-05
422,210,1.7e-05
432,215,-2.3e-05
442,220,1.6e-05
452,225,7e-06
462,230,1.8e-05
472,235,1.5e-05
482,240,7e-06
492,245,1.6e-05
502,250,1.1e-05
512,255,2.2e-05
522,260,9e-06
532,265,8.1e-05
542,270,-2.8e-05
552,275,-6e-06
562,280,1.00001e-06
572,285,9.00001e-06
582,290,5.4e-05
592,295,8e-06
602,300,1.8e-05
612,305,1.7e-05
622,310,1.1e-05
632,315,-9.99993e-07
642,320,2.2e-05
652,325,2e-05
662,330,3.3e-05
672,335,1.6e-05
682,340,3.1e-05
692,345,2.3e-05
702,350,2e-05
712,355,3.4e-05
722,360,1.9e-05
732,365,1.9e-05
742,370,2.5e-05
752,375,2.4e-05
762,380,3e-05
772,385,4.6e-05
782,390,2.99999e-06
792,395,9.99993e-07
802,400,1.7e-05
812,405,2.3e-05
822,410,1.3e-05
832,415,0.000167
842,420,7e-05
852,425,-9.99999e-06
862,430,-3.1e-05
872,435,4.5e-05
882,440,4.9e-05
892,445,2.4e-05
902,450,5.00001e-06
912,455,4.1e-05
922,460,4.3e-05
932,465,2.8e-05
942,470,2.6e-05
952,475,3.2e-05
962,480,3.9e-05
972,485,3.9e-05
982,490,3.7e-05
992,495,3.7e-05
1002,500,4.5e-05
1012,505,3.5e-05
1022,510,4.8e-05
1032,515,2.2e-05
1042,520,3.1e-05
1052,525,2.5e-05
1062,530,3e-05
1072,535,8.6e-05
1082,540,3.5e-05
1092,545,2e-05
1102,550,5.9e-05
1112,555,3.6e-05
1122,560,1.6e-05
1132,565,0.000105
1142,570,3.9e-05
1152,575,0.000113
1162,580,2e-05
1172,585,5.1e-05
1182,590,4.9e-05
1192,595,2.9e-05
1202,600,-8.9e-05
1212,605,9.7e-05
1222,610,2.6e-05
1232,615,1.00001e-06
1242,620,3.6e-05
1252,625,3.6e-05
1262,630,4.6e-05
1272,635,5.9e-05
1282,640,4.2e-05
1292,645,3.9e-05
1302,650,5.6e-05
1312,655,4.1e-05
1322,660,5.4e-05
1332,665,3.1e-05
1342,670,3.8e-05
1352,675,4.1e-05
