Dim,Key,TempoM
2,0,-6.03333e-06
12,3,1.66667e-07
22,7,-6e-07
32,10,-2.04167e-06
42,13,-4.25714e-06
52,17,-3.3e-06
62,20,-5.65e-06
72,23,-4.65e-06
82,27,-5e-06
92,30,5e-07
102,33,-5.66667e-06
112,37,-7.75e-06
122,40,2.33333e-06
132,43,-1.66667e-06
142,47,9e-06
152,50,1.25e-05
162,53,-6.16667e-06
172,57,-7.5e-06
182,60,-5.00004e-07
192,63,-4.5e-06
202,67,0
212,70,1.95e-05
222,73,-1.5e-05
232,77,1e-06
242,80,-5.99999e-06
252,83,2.5e-06
262,87,1.5e-06
272,90,5e-06
282,93,5.5e-06
292,97,5.5e-06
302,100,4.5e-06
312,103,5.5e-06
322,107,4.50001e-06
332,110,1.85e-05
342,113,2.35e-05
352,117,1.4e-05
362,120,1.35e-05
372,123,2.9e-05
382,127,1e-05
392,130,7e-06
402,133,2e-05
412,137,1.3e-05
422,140,1e-05
432,143,-1.3e-05
442,147,-6e-06
452,150,-9e-06
462,153,3.4e-05
472,157,1.1e-05
482,160,1.3e-05
492,163,4e-06
502,167,-5.9e-05
512,170,7.8e-05
522,173,1.5e-05
532,177,-2e-06
542,180,1.4e-05
552,183,-2.3e-05
562,187,1.00001e-06
572,190,6e-06
582,193,1.9e-05
592,197,5.2e-05
602,200,4.4e-05
612,203,0.000115
622,207,4.8e-05
632,210,1.3e-05
642,213,7e-06
652,217,2.1e-05
662,220,3e-05
672,223,1.6e-05
682,227,4.2e-05
692,230,9e-06
702,233,8e-06
712,237,4.4e-05
722,240,6e-05
732,243,2.8e-05
742,247,-1.9e-05
752,250,2.3e-05
762,253,4.9e-05
772,257,1.6e-05
782,260,1.7e-05
792,263,0.000107
802,267,0.000153
812,270,4.3e-05
822,273,-9.8e-05
832,277,5.6e-05
842,280,1.1e-05
852,283,2.8e-05
862,287,8.3e-05
872,290,5.5e-05
882,293,6.5e-05
892,297,1.8e-05
902,300,3.6e-05
912,303,1.4e-05
922,307,5.1e-05
932,310,1.5e-05
942,313,3e-05
952,317,3.3e-05
962,320,3.9e-05
972,323,9.7e-05
982,327,4.99998e-06
992,330,5.1e-05
1002,333,-1.6e-05
1012,337,1.4e-05
1022,340,2.4e-05
1032,343,6.6e-05
1042,347,-9.4e-05
1052,350,2.5e-05
1062,353,0.000159
1072,357,2.8e-05
1082,360,7.2e-05
1092,363,3.1e-05
1102,367,6e-05
1112,370,1.8e-05
1122,373,6.6e-05
1132,377,5.00001e-06
1142,380,4e-05
1152,383,-6.2e-05
1162,387,4.2e-05
1172,390,5.2e-05
1182,393,4.9e-05
1192,397,2.5e-05
1202,400,2.5e-05
1212,403,2.6e-05
1222,407,7.1e-05
1232,410,2.5e-05
1242,413,5.2e-05
1252,417,3.7e-05
1262,420,0
1272,423,7.2e-05
1282,427,5.00001e-06
1292,430,0.000229
1302,433,4.9e-05
1312,437,5.1e-05
1322,440,4.6e-05
1332,443,2.5e-05
1342,447,-4e-06
1352,450,1.9e-05
1362,453,4e-05
1372,457,0.000136
1382,460,2.8e-05
1392,463,4.8e-05
1402,467,0.000157
1412,470,2.9e-05
1422,473,3.6e-05
1432,477,4.8e-05
1442,480,4.1e-05
1452,483,4e-05
1462,487,1.8e-05
1472,490,2.4e-05
1482,493,-4e-06
1492,497,9.00001e-06
1502,500,7.6e-05
1512,503,7.3e-05
1522,507,7.5e-05
1532,510,3.1e-05
1542,513,0.000103
1552,517,4.2e-05
1562,520,2.2e-05
1572,523,4.4e-05
1582,527,-8e-06
1592,530,4.1e-05
1602,533,6.1e-05
1612,537,2.8e-05
1622,540,6.4e-05
1632,543,0.000137
1642,547,0.000145
1652,550,0.000103
1662,553,5.5e-05
1672,557,4.8e-05
1682,560,4.4e-05
1692,563,-0.00012
1702,567,0.00011
1712,570,4.8e-05
1722,573,6.6e-05
1732,577,0.000377
1742,580,4.5e-05
1752,583,4.7e-05
1762,587,7.4e-05
1772,590,0.000202
1782,593,3.7e-05
1792,597,8.8e-05
1802,600,-8e-06
1812,603,3.5e-05
1822,607,0.000109
1832,610,1.6e-05
1842,613,2e-05
1852,617,6e-05
1862,620,5.2e-05
1872,623,3.3e-05
1882,627,3.9e-05
1892,630,5.9e-05
1902,633,0.000166
1912,637,1.8e-05
1922,640,5.3e-05
1932,643,0.000109
1942,647,5.9e-05
1952,650,4.4e-05
1962,653,6.4e-05
1972,657,6.2e-05
1982,660,0.000142
1992,663,5.6e-05
2002,667,4.5e-05
2012,670,0.000348
2022,673,5.8e-05
2032,677,0.000138
2042,680,0.0001
2052,683,7.3e-05
2062,687,6.4e-05
2072,690,6.3e-05
2082,693,5.6e-05
2092,697,0.00016
2102,700,8.7e-05
2112,703,-0.00017
2122,707,9.9e-05
2132,710,0.00012
2142,713,6.1e-05
2152,717,3.1e-05
2162,720,0.000121
2172,723,8.4e-05
2182,727,0.000138
2192,730,8.6e-05
2202,733,-4.5e-05
2212,737,1.8e-05
2222,740,0.000164
2232,743,8.6e-05
2242,747,5.6e-05
2252,750,5.8e-05
