Dim,Key,TempoM
1000,100,0.010909
1010,100,0.010842
1020,100,0.011097
1030,100,0.01123
1040,100,0.011068
1050,100,0.011343
1060,100,0.01145
1070,100,0.011693
1080,100,0.011868
1090,100,0.011851
1100,100,0.012101
1110,100,0.011981
1120,100,0.014991
1130,100,0.014585
1140,100,0.015164
1150,100,0.014863
1160,100,0.01364
1170,100,0.012436
1180,100,0.012625
1190,100,0.012527
1200,100,0.012456
1210,100,0.01302
1220,100,0.013049
1230,100,0.013138
1240,100,0.014606
1250,100,0.012479
1260,100,0.013252
1270,100,0.013396
1280,100,0.013825
1290,100,0.01413
1300,100,0.014462
1310,100,0.016211
1320,100,0.017017
1330,100,0.016856
1340,100,0.018116
1350,100,0.016073
1360,100,0.015094
1370,100,0.015399
1380,100,0.016077
1390,100,0.016321
1400,100,0.015215
1410,100,0.016977
1420,100,0.015177
1430,100,0.015029
1440,100,0.015093
1450,100,0.015244
1460,100,0.015266
1470,100,0.015288
1480,100,0.015362
1490,100,0.015353
1500,100,0.015708
1510,100,0.017733
1520,100,0.016084
1530,100,0.01613
1540,100,0.015858
1550,100,0.016368
1560,100,0.016295
1570,100,0.017414
1580,100,0.016406
1590,100,0.016635
1600,100,0.01701
1610,100,0.01738
1620,100,0.016988
1630,100,0.017136
1640,100,0.017226
1650,100,0.017072
1660,100,0.01752
1670,100,0.017587
1680,100,0.017739
1690,100,0.017807
1700,100,0.017689
1710,100,0.018247
1720,100,0.018852
1730,100,0.018302
1740,100,0.017963
1750,100,0.01841
1760,100,0.018221
1770,100,0.020618
1780,100,0.018024
1790,100,0.018575
1800,100,0.018639
1810,100,0.018864
1820,100,0.019677
1830,100,0.019167
1840,100,0.019081
1850,100,0.019365
1860,100,0.019243
1870,100,0.019362
1880,100,0.019518
1890,100,0.019678
1900,100,0.019886
1910,100,0.020146
1920,100,0.019995
1930,100,0.020055
1940,100,0.020107
1950,100,0.020393
1960,100,0.021886
1970,100,0.02222
1980,100,0.023858
1990,100,0.022521
2000,100,0.020841
2010,100,0.020471
2020,100,0.020868
2030,100,0.020999
2040,100,0.021917
2050,100,0.021524
2060,100,0.021447
2070,100,0.021274
2080,100,0.021408
2090,100,0.02168
2100,100,0.021778
2110,100,0.021695
2120,100,0.021602
2130,100,0.021807
2140,100,0.021999
2150,100,0.022225
2160,100,0.02245
2170,100,0.022195
2180,100,0.022612
2190,100,0.022876
2200,100,0.024706
2210,100,0.022588
2220,100,0.022614
2230,100,0.022958
2240,100,0.02434
2250,100,0.023478
2260,100,0.023454
2270,100,0.023341
2280,100,0.023071
2290,100,0.023528
2300,100,0.023664
2310,100,0.024012
2320,100,0.024245
2330,100,0.024099
2340,100,0.025286
2350,100,0.024425
2360,100,0.024305
2370,100,0.024376
2380,100,0.024536
2390,100,0.026329
2400,100,0.024871
2410,100,0.024674
2420,100,0.024754
2430,100,0.026632
2440,100,0.025139
2450,100,0.025113
2460,100,0.024972
2470,100,0.025612
2480,100,0.0258
2490,100,0.025621
2500,100,0.025552
2510,100,0.025561
2520,100,0.025797
2530,100,0.025945
2540,100,0.026254
2550,100,0.025722
2560,100,0.028604
2570,100,0.026114
2580,100,0.026377
2590,100,0.026307
2600,100,0.027389
2610,100,0.026865
2620,100,0.027361
2630,100,0.026868
2640,100,0.02709
2650,100,0.027141
2660,100,0.027441
2670,100,0.027408
2680,100,0.027458
2690,100,0.027921
2700,100,0.027836
2710,100,0.027494
2720,100,0.027909
2730,100,0.034313
2740,100,0.028138
2750,100,0.028333
2760,100,0.029407
2770,100,0.0286
2780,100,0.027932
2790,100,0.028476
2800,100,0.028724
2810,100,0.028542
2820,100,0.028559
2830,100,0.029162
2840,100,0.029291
2850,100,0.028963
2860,100,0.029425
2870,100,0.029191
2880,100,0.031121
2890,100,0.029721
2900,100,0.029627
2910,100,0.029287
2920,100,0.031302
2930,100,0.029836
2940,100,0.029362
2950,100,0.030019
2960,100,0.029494
2970,100,0.030179
2980,100,0.030519
2990,100,0.030256
3000,100,0.030495
3010,100,0.030547
3020,100,0.031142
3030,100,0.033116
3040,100,0.030605
3050,100,0.030933
3060,100,0.030889
3070,100,0.032295
3080,100,0.031643
3090,100,0.031347
