Dim,Key,TempoM,SD
2,1,-6.26984e-07,0
12,1,5.28017e-07,0
22,1,2.56417e-06,3.65244e-07
32,1,5.86111e-06,1.02187e-06
42,1,7.61111e-06,2.20307e-06
52,1,1.54643e-05,3.1218e-06
62,1,2.25818e-05,5.90471e-06
72,1,2.575e-05,9.29832e-06
82,1,3.94722e-05,1.19749e-05
92,1,6.3625e-05,1.72675e-05
102,1,5.94286e-05,2.74779e-05
112,1,6.43e-05,3.26013e-05
122,1,8.38333e-05,3.72896e-05
132,1,9.61e-05,4.4919e-05
142,1,0.000126,5.31827e-05
152,1,0.000126,6.6202e-05
162,1,0.0001559,7.57808e-05
172,1,0.0002104,8.94975e-05
182,1,0.0002222,0.00011275
192,1,0.000212,0.000132715
202,1,0.0002275,0.000146468
212,1,0.00025425,0.000160531
222,1,0.00030175,0.000176906
232,1,0.000305,0.000199309
242,1,0.00033375,0.000218409
252,1,0.000362,0.000239498
262,1,0.000388667,0.000262234
272,1,0.000422,0.000286131
282,1,0.000468,0.000312223
292,1,0.000643333,0.000342493
302,1,0.000538667,0.000403376
312,1,0.000576,0.000433972
322,1,0.000614333,0.000466599
332,1,0.000786667,0.000501208
342,1,0.000679667,0.000561661
352,1,0.000921333,0.000595862
362,1,0.000743667,0.00066709
372,1,0.000772,0.000700372
382,1,0.000807,0.000734157
392,1,0.000875333,0.000769306
402,1,0.000923,0.000810227
412,1,0.00110333,0.000853718
422,1,0.0010105,0.000919751
432,1,0.0010905,0.000965332
442,1,0.001205,0.00101754
452,1,0.0012575,0.00108108
462,1,0.00124,0.00114604
472,1,0.0012835,0.00120259
482,1,0.001329,0.00126
492,1,0.001386,0.0013185
502,1,0.001457,0.00137953
512,1,0.001514,0.00144475
522,1,0.0016135,0.00151205
532,1,0.001624,0.00158692
542,1,0.0018045,0.00165715
552,1,0.001743,0.00174558
562,1,0.0018325,0.00181895
572,1,0.0018925,0.00189799
582,1,0.001988,0.00197866
592,1,0.0020995,0.00206532
602,1,0.002103,0.0021597
612,1,0.0022645,0.00224765
622,1,0.0022185,0.00234945
632,1,0.0023345,0.00243845
642,1,0.00257,0.00253527
652,1,0.0024755,0.00265482
662,1,0.002579,0.00275434
672,1,0.0025945,0.00285958
682,1,0.0027365,0.00295991
692,1,0.0027865,0.00307034
702,1,0.0030065,0.00317963
712,1,0.002947,0.00330795
722,1,0.002989,0.00342128
732,1,0.0032215,0.0035326
742,1,0.003197,0.00366367
752,1,0.003312,0.00378414
762,1,0.0036695,0.00391043
772,1,0.0037855,0.00407091
782,1,0.003636,0.00423534
792,1,0.0036425,0.00437269
802,1,0.003695,0.00450327
812,1,0.004114,0.00463249
822,1,0.0048805,0.00480064
832,1,0.00547,0.00505549
842,1,0.004453,0.00537582
852,1,0.004253,0.00554376
862,1,0.004309,0.00568281
872,1,0.004788,0.00582079
882,1,0.004639,0.00600073
892,1,0.004517,0.00615642
902,1,0.004706,0.00629344
912,1,0.005667,0.00644205
922,1,0.004886,0.00668561
932,1,0.005009,0.00683505
942,1,0.005681,0.00698943
952,1,0.005233,0.00720382
962,1,0.005578,0.00736385
972,1,0.005706,0.00754963
982,1,0.005533,0.00773962
992,1,0.005941,0.00790533
1002,1,0.00584,0.00810225
1012,1,0.006135,0.00828132
1022,1,0.006397,0.00848052
1032,1,0.006166,0.00869648
1042,1,0.006487,0.00888174
1052,1,0.006456,0.00908906
1062,1,0.00729,0.00928515
1072,1,0.006713,0.00955423
1082,1,0.00701,0.00975597
1092,1,0.006918,0.00997686
1102,1,0.007375,0.0101808
1112,1,0.007176,0.0104185
1122,1,0.007888,0.0106289
1132,1,0.007401,0.0108971
1142,1,0.007834,0.0111101
1152,1,0.007652,0.0113535
1162,1,0.008363,0.0115718
1172,1,0.00802,0.0118462
1182,1,0.008232,0.0120791
1192,1,0.008446,0.012322
1202,1,0.008347,0.012575
1212,1,0.009093,0.0128105
1222,1,0.008679,0.0131038
1232,1,0.008805,0.0133496
1242,1,0.009094,0.0135977
1252,1,0.009168,0.0138619
1262,1,0.009496,0.0141234
1272,1,0.009593,0.0144041
1282,1,0.009556,0.0146835
1292,1,0.010024,0.0149503
1302,1,0.010081,0.0152482
1312,1,0.009965,0.0155407
1322,1,0.010234,0.0158139
1332,1,0.010851,0.0161006
1342,1,0.011643,0.0164306
1352,1,0.010738,0.0168215
1362,1,0.010792,0.0171186
1372,1,0.011285,0.0174108
1382,1,0.011195,0.0177345
1392,1,0.011318,0.0180404
1402,1,0.013532,0.0183469
1412,1,0.011659,0.0188446
1422,1,0.012041,0.0191555
1432,1,0.012276,0.0194878
1442,1,0.012329,0.0198291
1452,1,0.012379,0.0201643
1462,1,0.012512,0.0204935
1472,1,0.01306,0.0208235
1482,1,0.013003,0.0211878
1492,1,0.013209,0.0215366
1502,1,0.013453,0.0218916
1512,1,0.013536,0.0222556
1522,1,0.014457,0.0226157
1532,1,0.013812,0.0230404
1542,1,0.014185,0.0234001
1552,1,0.014189,0.0237789
1562,1,0.014398,0.0241473
1572,1,0.014541,0.0245216
1582,1,0.014689,0.0248966
1592,1,0.014898,0.0252727
1602,1,0.015122,0.0256545
1612,1,0.01539,0.0260431
1622,1,0.015504,0.0264416
1632,1,0.01575,0.0268381
1642,1,0.016031,0.0272428
1652,1,0.016321,0.0276581
1662,1,0.016492,0.0280844
1672,1,0.016251,0.0285125
1682,1,0.016731,0.0289113
1692,1,0.016622,0.0293356
1702,1,0.016901,0.0297408
1712,1,0.019069,0.0301563
1722,1,0.017694,0.0307332
1732,1,0.018043,0.0311832
1742,1,0.018083,0.031648
1752,1,0.017955,0.0321039
1762,1,0.018258,0.032539
1772,1,0.018927,0.0329854
1782,1,0.018657,0.0334702
1792,1,0.018789,0.033923
1802,1,0.019554,0.0343743
1812,1,0.019345,0.0348706
